_EF_PROGRAM_FACILITY_EZ.PGM_SYS_ACRNM,V_EF_PROGRAM_FACILITY_EZ.PGM_SYS_ID,V_EF_PROGRAM_FACILITY_EZ.REGISTRY_ID,V_EF_PROGRAM_FACILITY_EZ.STANDZED_PRIM_NAME,V_EF_PROGRAM_FACILITY_EZ.PRIMARY_NAME,V_EF_PROGRAM_FACILITY_EZ.CITY_NAME,V_EF_PROGRAM_FACILITY_EZ.COUNTY_NAME,V_EF_PROGRAM_FACILITY_EZ.STATE_CODE,V_EF_PROGRAM_FACILITY_EZ.POSTAL_CODE
TRIS,77541SHNTC5672H,110000743839,SHINTECH,SHINTECH INCORPORATED,FREEPORT,BRAZORIA,TX,77541
TRIS,75110RSSLL1997P,110002052901,RUSSELL STOVER CANDIES,RUSSELL STOVER CANDIES,CORSICANA,NAVARRO,TX,75151
TRIS,75238SNDNN10710,110000874126,SANDEN VENDO AMER,SANDEN VENDO AMERICA,DALLAS,DALLAS,TX,75238
TRIS,75604TRNTY1111W,110002132157,TRINITY IND PLT 17,TRINITY INDUSTRIES PLANT 17,LONGVIEW,GREGG,TX,75604
TRIS,75662WLFLX322GL,110002132200,OWL FLEX,OWL FLEX INCORPORATED,KILGORE,GREGG,TX,75662
TRIS,75670FSCNC300EX,110002132219,FOSECO,FOSECO INCORPORATED,MARSHALL,HARRISON,TX,75670
TRIS,79925PSNPS7500V,110000466335,EPSON E1 PASO,EPSON E1 PASO INCORPORATED,EL PASO,EL PASO,TX,79925
TRIS,77598GFCHMPOBOX,110000619466,ISP TECH TX CITY PLT,ISP TECHNOLOGIES TEXAS CITY PLANT,TEXAS CITY,GALVESTON,TX,77590
TRIS,75209DLFRT7701L,110000619554,DALFORT,DALFORT,DALLAS,DALLAS,TX,75209
TRIS,75091MMCST6800H,110000744482,MEMC SOUTHWEST,MEMC SOUTHWEST INCORPORATED,SHERMAN,GRAYSON,TX,75090
TRIS,78724PPLDM9700U,110000746541,APPLIED MATL,APPLIED MATERIALS INC,AUSTIN,TRAVIS,TX,787241199
TRIS,75211SNVLW9314W,110000748781,VOUGHT JEFFERSON STREET FACLTY,VOUGHT JEFFERSON STREET FACILITY,DALLAS,DALLAS,TX,752119302
TRIS,77075LNDRT8700S,110000895728,LANDRETH ENGINEERING,LANDRETH ENGINEERING CO.,HOUSTON,HARRIS,TX,77075
TRIS,75050SNCHM15051,110000895844,DAINIPPON INKS AND CHEM ; DBA SUN CHEM,DAINIPPON INKS & CHEMICAL CO DBA SUN CHEMICAL,GRAND PRAIRIE,DALLAS,TX,75050
TRIS,75670SMTHS510HA,110002132237,SMITH STEEL CASTING,SMITH STEEL CASTING COMPANY,MARSHALL,HARRISON,TX,75670
TRIS,75961NMLSC900EA,110002132362,ANML SCIENCE PROD,ANIMAL SCIENCE PRODUCTS INC,NACOGDOCHES,NACOGDOCHES,TX,75961
TRIS,75963RDTCL5004S,110002132371,COLEMAN ; RED T COIL DIV,COLEMAN CO INCORPORATED RED T COIL DIVISION,NACOGDOCHES,NACOGDOCHES,TX,759632578
TRIS,76104THDNN401SL,110000495063,DANNON,THE DANNON COMPANY,FORT WORTH,TARRANT,TX,76104
TRIS,76131STRSR9000B,110000495090,WESTERN CURRENCY FACLTY,WESTERN CURRENCY FACILITY,FORT WORTH,TARRANT,TX,76131
TRIS,76240WBRRC2000W,110000495107,WEBER AIRCRAFT,WEBER AIRCRAFT,GAINESVILLE,COOKE,TX,762409699
TRIS,77045LNGRC12300,110000495170,LONG REACH MFG,LONG REACH MANUFACTURING,HOUSTON,HARRIS,TX,77045
TRIS,77536FNLND1818B,110000619652,ATOFINA PETROCHEMICALS,ATOFINA PETROCHEMICALS INCORPORATED,DEER PARK,HARRIS,TX,77536
TRIS,75661LNGHRINTER,110000619910,US ARMY LONGHORN ARMY AMMO PLT,US ARMY LONGHORN ARMY AMMO PLANT,KARNACK,HARRISON,TX,75661
TRIS,76063QLTYF105IN,110002132594,QUALITY FBRGLS,QUALITY FIBERGLASS INC,MANSFIELD,TARRANT,TX,76063
TRIS,76067TFFNY2300S,110002132638,TIFFANY BRICK,TIFFANY BRICK INCORPORATED,MINERAL WELLS,PALO PINTO,TX,76067
