,Table 16-1D.  Occupation of the Employed Foreign-Born Population 16 Years and Over by Region of Birth and Sex: 2000,,,,,,,,,,,,,
,,,,,,,,,,, ,,,
,                              (Numbers in thousands.  Data are for civilian noninstitutional population),,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,Latin America,,,,,,,
,,Total,,,,,,,Central America,,,,,
,,foreign-,,,,,,,,,Other,,,
,,born,,,,,,,,,Central,South,Northern,Other
,Occupation and sex,population,Europe,Asia,Africa,Oceania,Total,Caribbean,Total,Mexico,America,America,America,reported
,TOTAL POPULATION,,,,,,,,,,,,,
,Number:,,,,,,,,,,,,,
,Number:,,,,,,,,,,,,,
,          Total...................................................,"6,659","1,017","1,934",120,40,"3,204",754,"1,912","1,378",534,538,181,162
,Managerial and professional specialty.........................................,"1,700",332,716,39,14,471,170,179,118,61,122,86,43
,"    Executive, administrative, and", , , , , , , , , , , , , 
,      managerial........................................................,724,115,318,15,5,200,55,95,63,32,50,44,26
,    Professional specialty.........................................,976,217,397,24,9,271,115,84,55,29,72,42,17
,"Technical, sales, and administrative", , , , , , , , , , , , , 
,  support........................................................................,"1,885",319,612,33,18,810,231,398,267,131,182,52,41
,    Technicians and related support.........................................,223,43,95,5,-,72,25,26,15,10,22,2,6
,    Sales occupations.........................................,684,80,252,15,4,298,76,158,114,44,64,20,14
,"    Administrative support, including", , , , , , , , , , , , , 
,       clerical.....................................................................,979,197,265,13,14,440,130,214,138,76,97,30,21
,Service occupations.........................................,"1,833",242,358,38,5,"1,125",243,715,499,216,167,28,37
,    Private household.........................................,305,34,34,5,-,227,28,157,90,67,42,3,2
,    Protective service.........................................,20,7,-,-,-,12,3,7,4,2,2,-,1
,"    Service, except private household", , , , , , , , , , , , , 
,       and protective.........................................,"1,508",201,324,33,5,886,212,551,405,146,123,25,34
,"Precision production, craft, and repair.........................................",260,37,64,-,-,142,17,108,88,20,18,9,8
,    Mechanics and repairers.........................................,41,6,16,-,-,16,9,5,5,-,3,3,-
,    Construction trades.........................................,8,-,2,-,-,6,-,4,1,3,1,-,-
,"    Other precision production, craft,", , , , , , , , , , , , , 
,      and repair.................................................................,211,31,46,-,-,120,8,99,82,17,13,6,8
,"Operators, fabricators, and laborers.........................................",876,81,179,11,4,574,91,433,336,97,50,4,25
,"    Machine operators, assemblers, ", , , , , , , , , , , , , 
,      and inspectors..................................................,662,62,137,3,4,433,64,337,272,65,33,1,22
,    Transportation and material moving, , , , , , , , , , , , , 
,      occupations............................................................,33,3,8,-,-,20,4,8,7,1,8,3,-
,"    Handlers, equipment cleaners,", , , , , , , , , , , , , 
,"      helpers, and laborers.........................................",181,17,34,7,-,120,23,88,57,31,9,-,3
,"Farming, forestry, and fishing.........................................",105,6,6,-,-,82,2,80,70,10,-,3,8
,    Farm operators and managers.........................................,4,1,-,-,-,2,2,-,-,-,-,-,-
,"    Other farming, forestry, and fishing", , , , , , , , , , , , , 
,      occupations.............................................................,101,4,6,-,-,80,-,80,70,10,-,3,8
,,,,,,,,,,,,,,
,Table 16-1D.  Occupation of the Employed Foreign-Born Population 16 Years and Over by Region of Birth and Sex: 2000-con.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,                              (Numbers in thousands.  Data are for civilian noninstitutional population),,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,Latin America,,,,,,,
,,Total,,,,,,,Central America,,,,,
,,foreign-,,,,,,,,,Other,,,
,,born,,,,,,,,,Central,South,Northern,Other
,Occupation and sex,population,Europe,Asia,Africa,Oceania,Total,Caribbean,Total,Mexico,America,America,America,reported
,FEMALES-CON.,,,,,,,,,,,,,
,Percent distribution:,,,,,,,,,,,,,
,          Total...................................................,100.0,100.0,100.0,100.0,(B),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
,Managerial and professional specialty.........................................,25.5,32.6,37.0,32.4,(B),14.7,22.5,9.4,8.6,11.4,22.6,47.3,26.7
,"    Executive, administrative, and", , , , , , , , , , , , , 
,      managerial........................................................,10.9,11.3,16.5,12.7,(B),6.2,7.3,5.0,4.6,6.0,9.3,24.3,16.1
,    Professional specialty.........................................,14.7,21.3,20.6,19.6,(B),8.4,15.2,4.4,4.0,5.4,13.4,23.0,10.6
,"Technical, sales, and administrative", , , , , , , , , , , , , 
,  support........................................................................,28.3,31.4,31.6,27.6,(B),25.3,30.6,20.8,19.4,24.4,33.8,28.4,25.4
,    Technicians and related support.........................................,3.3,4.2,4.9,4.1,-,2.2,3.3,1.3,1.1,1.9,4.0,1.0,3.8
