Dataset:              Fish Species Abundance Data
File Name:            CB93_4_2.txt
Date Created:         12/17/96
# Variables:          4
# Header Records:     14
# Data Records:       462
Missing Value Symbol: .

Variables:    SITE         Station name
              MONTH        Month (JUN,AUG,SEP) of data collection
              SPECIES      Common name of species collected
              ABUN         No. of individuals collected of the species

SITE    MONTH   SPECIES                         ABUN
STN_7   AUG     Mullet sp.                         2
STN_7   AUG     Mummichog                         41
STN_7   JUL     Mummichog                          2
STN_7   SEP     Mummichog                         25
STN_7   AUG     Naked goby                         2
STN_7   SEP     Naked goby                         1
STN_7   AUG     Oyster toadfish                    2
STN_7   SEP     Oyster toadfish                    1
STN_7   AUG     Spot                               1
STN_7   JUL     Spot                               2
STN_7   SEP     Striped anchovy                    5
STN_7   AUG     Striped bass                       1
STN_7   AUG     Striped killifish                 34
STN_7   SEP     Striped killifish                 12
STN_7   SEP     Summer flounder                    1
STN_9   AUG     Crevalle jack                      1
STN_9   AUG     Mullet sp.                         7
STN_9   JUL     Mullet sp.                         1
STN_9   AUG     Mummichog                          5
STN_9   JUL     Mummichog                         15
STN_9   SEP     Mummichog                        158
STN_9   AUG     Permit                             1
STN_9   AUG     Spot                               4
STN_9   AUG     Striped bass                       1
STN_9   JUL     Striped killifish                 26
STN_9   SEP     Striped killifish                 45
