# StationID,Lat(deg.NAD27),Lon(deg.NAD27),Elev(m.NGVD29),Obs_grav(mGal),Free_air_anom(mGal),Inner_terr_corr(mGal),Total_terr_corr(mGal),Complete_Bouguer_anom(mGal),Isostatic_anom(mGal) -- see USGS OFR2006-1396 for more info
l_bm/9aw,37.1318,-114.4155,1116.5,979560.03,-11.74,2.49,3.01,-134.85,5.84
l_bm05bx,37.0178,-114.5047,1515.5,979491.60,52.80,6.82,11.35,-106.83,25.36
l_bm07cy,37.0220,-114.4172,1707.8,979447.70,67.85,4.08,10.27,-114.45,18.05
l_bm15dz,37.0295,-114.5640,966.8,979602.24,-6.79,1.17,2.27,-113.79,19.52
l_bm16ea,37.1128,-114.1383,1223.2,979547.86,10.65,1.32,2.15,-125.33,15.60
l_bm17fb,37.0265,-114.4542,1421.6,979514.24,45.73,1.60,4.18,-110.52,22.38
l_bm26gc,37.0757,-114.1393,1166.2,979553.67,2.11,2.39,3.37,-126.23,12.05
l_bm32hd,37.0342,-114.2947,1071.1,979572.11,-5.18,4.86,5.40,-120.79,13.21
l_bm36ie,37.0803,-114.1772,1174.7,979553.29,3.96,3.41,4.19,-124.53,13.60
l_bm46kg,37.0517,-114.2765,1113.7,979561.49,-4.15,3.32,4.03,-125.93,9.41
l_bm47lh,37.0393,-114.4883,1341.4,979522.30,27.95,6.24,8.93,-114.54,19.27
l_bm48mi,37.1227,-114.3972,1262.5,979528.49,2.55,3.52,5.11,-134.89,5.05
l_bm56oj,37.0648,-114.3032,945.5,979598.23,-20.46,0.29,0.62,-126.70,9.50
l_bm57pk,37.0797,-114.4400,1076.6,979575.55,-4.00,0.14,0.94,-124.68,12.15
l_bm58ql,37.1708,-114.3915,1306.1,979508.90,-7.79,4.28,5.72,-149.52,-5.97
l_bm66rm,37.0408,-114.3613,1290.8,979526.18,16.10,4.11,5.89,-123.75,10.41
l_bm67sn,37.0745,-114.4035,1300.3,979527.37,17.28,4.72,6.45,-123.07,13.35
l_bm68to,37.1860,-114.4163,1100.6,979556.51,-24.87,0.22,0.89,-148.32,-3.52
l_bm77wq,37.0480,-114.4023,1503.9,979486.09,41.09,5.92,9.63,-118.96,15.50
l_bm78xr,37.2212,-114.3772,1347.2,979500.40,-7.98,0.70,1.75,-158.31,-10.82
l_bm86ys,37.0042,-114.3553,1399.3,979504.38,30.95,5.71,8.86,-118.12,13.50
l_bm88zt,37.1972,-114.4440,1048.8,979557.22,-41.11,0.71,1.40,-158.21,-12.57
l_hm/4ju,37.1117,-114.2363,1060.1,979573.15,-14.26,0.21,0.45,-133.59,6.35
l_hm/5mv,37.1700,-114.7232,1027.2,979562.16,-40.48,0.02,0.99,-155.56,-11.72
l_hm04bw,37.1428,-114.2413,1083.9,979561.92,-20.87,0.03,0.30,-143.02,-0.78
l_hm05cx,37.0227,-114.8882,970.8,979590.60,-16.62,1.82,2.36,-123.96,11.88
l_hm14dy,37.2305,-114.4257,1162.5,979538.84,-27.33,0.57,1.38,-157.25,-9.06
l_hm20ez,37.0010,-114.2255,866.2,979615.44,-22.14,0.06,0.29,-119.79,12.57
l_hm24fa,37.1320,-114.4718,853.7,979606.54,-46.29,0.47,1.25,-141.56,-0.78
