Riverside-San Bernardino-Ontario, CA 	United Kingdom 	-2 	-2 	117700032
Rochester, NY 	Canada 	1230346166 	1223116667 	624774655
Rochester, NY 	China 	334245046 	269870418 	140632737
Rochester, NY 	Federal Republic of Germany 	-2 	249060563 	150291246
Rochester, NY 	France 	-1 	-1 	220283465
Rochester, NY 	Japan 	272551065 	-2 	-2
Rochester, NY 	Mexico 	494975279 	703361841 	320740657
Rochester, NY 	Residual 	-1 	-1 	1040315699
Salt Lake City, UT 	Belgium 	-1 	-1 	164620182
Salt Lake City, UT 	Canada 	234912006 	377270362 	201365040
Salt Lake City, UT 	China 	215822722 	-2 	73710465
Salt Lake City, UT 	Mexico 	-2 	175212035 	-2
Salt Lake City, UT 	Netherlands 	-2 	-2 	116699111
Salt Lake City, UT 	Residual 	-1 	1414997402 	-1
Salt Lake City, UT 	Switzerland 	672294840 	479218547 	-2
Salt Lake City, UT 	United Kingdom 	1043447575 	-1 	-1
San Diego-Carlsbad-San Marcos, CA 	Canada 	941475452 	1034086664 	472432530
San Diego-Carlsbad-San Marcos, CA 	Israel 	-1 	-1 	-1
San Diego-Carlsbad-San Marcos, CA 	Japan 	613070977 	745891031 	380497621
San Diego-Carlsbad-San Marcos, CA 	Mexico 	5407601129 	5005315587 	2257460203
San Diego-Carlsbad-San Marcos, CA 	Residual 	-1 	-1 	-1
San Diego-Carlsbad-San Marcos, CA 	United Kingdom 	555717460 	551620607 	297912182
San Francisco-Oakland-Fremont, CA 	Canada 	1798452599 	1953201290 	1129356453
San Francisco-Oakland-Fremont, CA 	China 	1108435480 	1547715336 	954428991
San Francisco-Oakland-Fremont, CA 	Federal Republic of Germany 	813681661 	-2 	-2
San Francisco-Oakland-Fremont, CA 	Japan 	1963774644 	2194247583 	1027768659
San Francisco-Oakland-Fremont, CA 	Mexico 	1312082534 	1699179734 	775288441
San Francisco-Oakland-Fremont, CA 	Residual 	7710469234 	9782184854 	-1
San Francisco-Oakland-Fremont, CA 	Switzerland 	-2 	-2 	-1
San Francisco-Oakland-Fremont, CA 	Taiwan 	-2 	1181707643 	-2
San Jose-Sunnyvale-Santa Clara, CA 	Canada 	1824447451 	-2 	853824619
San Jose-Sunnyvale-Santa Clara, CA 	China 	1791379899 	2521136164 	1508454313
San Jose-Sunnyvale-Santa Clara, CA 	Japan 	3377955198 	3675857193 	1703574427
San Jose-Sunnyvale-Santa Clara, CA 	Korea, South 	2838332633 	3546076522 	2110597269
San Jose-Sunnyvale-Santa Clara, CA 	Residual 	13747903438 	14277422970 	6700379344
San Jose-Sunnyvale-Santa Clara, CA 	Singapore 	-2 	1685012373 	-2
San Jose-Sunnyvale-Santa Clara, CA 	Taiwan 	2262511951 	2465756891 	1068325483
San Juan-Caguas-Guaynabo, PR 	Belgium 	1543949562 	1967925106 	1159450742
San Juan-Caguas-Guaynabo, PR 	Canada 	663002333 	824992800 	397077111
San Juan-Caguas-Guaynabo, PR 	Dominican Republic 	-2 	556720638 	-2
San Juan-Caguas-Guaynabo, PR 	Federal Republic of Germany 	-2 	501506315 	-1
San Juan-Caguas-Guaynabo, PR 	France 	541905506 	-2 	-2
San Juan-Caguas-Guaynabo, PR 	Netherlands 	1546390959 	-1 	1089102403
San Juan-Caguas-Guaynabo, PR 	Residual 	4058905482 	-1 	-1
San Juan-Caguas-Guaynabo, PR 	United Kingdom 	801898948 	-2 	436337254
Seattle-Tacoma-Bellevue, WA 	Canada 	2888116456 	3512902451 	1875596549
Seattle-Tacoma-Bellevue, WA 	China 	4217966449 	6269467719 	3174717731
Seattle-Tacoma-Bellevue, WA 	France 	-2 	-2 	1677967469
Seattle-Tacoma-Bellevue, WA 	Ireland 	-1 	-2 	-2
Seattle-Tacoma-Bellevue, WA 	Japan 	5286828122 	5657764639 	3268524965
Seattle-Tacoma-Bellevue, WA 	Residual 	-1 	24381448453 	-1
Seattle-Tacoma-Bellevue, WA 	Singapore 	-2 	-1 	-1
Seattle-Tacoma-Bellevue, WA 	Taiwan 	2014557688 	-2 	-2
Seattle-Tacoma-Bellevue, WA 	United Arab Emirates 	-2 	-1 	-2
St. Louis, MO-IL 	Belgium 	510887931 	643824352 	324196107
St. Louis, MO-IL 	Canada 	1705684475 	1944547555 	1059473307
St. Louis, MO-IL 	China 	-2 	884611290 	585568219
St. Louis, MO-IL 	Japan 	383410688 	-2 	-2
St. Louis, MO-IL 	Korea, South 	584629698 	-1 	667336053
St. Louis, MO-IL 	Mexico 	1044992917 	1187596238 	590784625
St. Louis, MO-IL 	Residual 	2987218922 	-1 	1689402989
Tampa-St. Petersburg-Clearwater, FL 	Australia 	199154211 	-2 	-2
