                                                           NATIONAL LIST OF VASCULAR PLANT SPECIES THAT OCCUR IN WETLANDS:  1996 SYNONYMY

   SYNONYM                                                                                     ACCEPTED SCIENTIFIC NAME                                                                   SOURCE
   Agropyron violaceum ssp. andinum (Scribn. & J.G. Sm.) Melderis                              Elymus trachycaulus ssp. trachycaulus (Link) Gould ex Shinners                             KAR94    
   Agropyron violaceum var. alboviride (Hultén) Melderis                                       Elymus alaskanus ssp. alaskanus (Scribn. & Merr.) A. Love                                  KAR94    
   Agropyron violaceum var. andinum Scribn. & J.G. Sm.                                         Elymus trachycaulus ssp. trachycaulus (Link) Gould ex Shinners                             KAR94    
   Agropyron violaceum var. virescens Lange                                                    Elymus alaskanus ssp. alaskanus (Scribn. & Merr.) A. Love                                  KAR94    
   Agrostis aenea Trin.                                                                        Agrostis alascana Hultén                                                                   KAR94    
   Agrostis airoides Torr.                                                                     Sporobolus airoides (Torr.) Torr.                                                          KAR94    
*  Agrostis alba auct. non L.                                                                  Agrostis gigantea Roth                                                                     KAR94    
   Agrostis alba var. palustris (Huds.) Pers.                                                  Agrostis stolonifera L.                                                                    KAR94    
   Agrostis alba var. stolonifera (L.) Sm.                                                     Agrostis stolonifera L.                                                                    KAR94    
   Agrostis algida Phipps                                                                      Phippsia algida (Phipps) R. Br.                                                            KAR94    
   Agrostis altissima (Walt.) Tuckerman                                                        Agrostis perennans (Walt.) Tuckerman                                                       KAR94    
   Agrostis antecedens Bickn.                                                                  Agrostis hyemalis (Walt.) B.S.P.                                                           KAR94    
*  Agrostis borealis Hartman                                                                   Agrostis mertensii Trin.                                                                   KAR94    
   Agrostis borealis var. americana (Scribn.) Fern.                                            Agrostis mertensii Trin.                                                                   KAR94    
   Agrostis borealis var. paludosa (Scribn.) Fern.                                             Agrostis mertensii Trin.                                                                   KAR94    
   Agrostis canina var. varians (Thuill.) Ducomm.                                              Agrostis canina L.                                                                         KAR94    
   Agrostis cryptandra Torr.                                                                   Sporobolus cryptandrus (Torr.) Gray                                                        KAR94    
   Agrostis elata (Pursh) Trin.                                                                Agrostis perennans (Walt.) Tuckerman                                                       KAR94    
   Agrostis exigua Thurb.                                                                      Agrostis elliottiana J.A. Schultes                                                         KAR94    
   Agrostis fallax Hbd.                                                                        Agrostis sandwicensis Hbd.                                                                 KAR94    
   Agrostis frondosa Poir.                                                                     Muhlenbergia frondosa (Poir.) Fern.                                                        KAR94    
   Agrostis gigantea var. dispar (Michx.) Philipson                                            Agrostis gigantea Roth                                                                     KAR94    
   Agrostis indica L.                                                                          Sporobolus indicus (L.) R. Br.                                                             KAR94    
   Agrostis kennedyana Beetle                                                                  Agrostis tandilensis (Kuntze) Parodi                                                       KAR94    
   Agrostis maritima Lam.                                                                      Agrostis stolonifera L.                                                                    KAR94    
   Agrostis melaleuca (Trin.) A.S. Hitchc.                                                     Agrostis alascana Hultén                                                                   KAR94    
   Agrostis mertensii ssp. borealis (Hartman) Tzvelev                                          Agrostis mertensii Trin.                                                                   KAR94    
   Agrostis mexicana L.                                                                        Muhlenbergia mexicana (L.) Trin.                                                           KAR94    
   Agrostis microphylla var. hendersonii (A.S. Hitchc.) Beetle                                 Agrostis hendersonii A.S. Hitchc.                                                          KAR94    
   Agrostis nigra With.                                                                        Agrostis gigantea Roth                                                                     KAR94    
   Agrostis oreophila Trin.                                                                    Agrostis perennans (Walt.) Tuckerman                                                       KAR94    
   Agrostis palustris Huds.                                                                    Agrostis stolonifera L.                                                                    KAR94    
   Agrostis perennans var. aestivalis Vasey                                                    Agrostis perennans (Walt.) Tuckerman                                                       KAR94    
   Agrostis perennans var. elata (Pursh) A.S. Hitchc.                                          Agrostis perennans (Walt.) Tuckerman                                                       KAR94    
   Agrostis pyramidata Lam.                                                                    Sporobolus pyramidatus (Lam.) A.S. Hitchc.                                                 KAR94    
   Agrostis racemosa Michx.                                                                    Muhlenbergia racemosa (Michx.) B.S.P.                                                      KAR94    
   Agrostis radiata L.                                                                         Chloris radiata (L.) Sw.                                                                   KAR94    
   Agrostis retrofracta Willd.                                                                 Agrostis avenacea J.F. Gmel.                                                               KAR94    
   Agrostis rupestris auct. non All.                                                           Agrostis mertensii Trin.                                                                   KAR94    
   Agrostis schweinitzii Trin.                                                                 Agrostis perennans (Walt.) Tuckerman                                                       KAR94    
*  Agrostis semiverticillata (Forsk.) C. Christens.                                            Polypogon viridis (Gouan) Breistr.                                                         KAR94    
   Agrostis stolonifera ssp. gigantea (Roth) Schuebl. & Martens                                Agrostis gigantea Roth                                                                     KAR94    
   Agrostis stolonifera var. compacta Hartman                                                  Agrostis stolonifera L.                                                                    KAR94    
   Agrostis stolonifera var. major (Gaudin) Farw.                                              Agrostis gigantea Roth                                                                     KAR94    
*  Agrostis stolonifera var. palustris (Huds.) Farw.                                           Agrostis stolonifera L.                                                                    KAR94    
   Agrostis sylvatica Huds.                                                                    Agrostis capillaris L.                                                                     KAR94    
*  Agrostis tenuis Sibthorp                                                                    Agrostis capillaris L.                                                                     KAR94    
   Agrostis tenuis var. aristata (Parnell) Druce                                               Agrostis capillaris L.                                                                     KAR94    
   Agrostis tenuis var. hispida (Willd.) Philipson                                             Agrostis capillaris L.                                                                     KAR94    
   Agrostis tenuis var. pumila (L.) Druce                                                      Agrostis capillaris L.                                                                     KAR94    
   Agrostis trichopodes Ell.                                                                   Muhlenbergia capillaris var. trichopodes (Ell.) Vasey                                      KAR94    
*  Agrostis trinii Turcz.                                                                      Agrostis vinealis ssp. trinii (Turcz.) Tzvelev                                             KAR94    
   Agrostis variabilis auct. non Rydb.                                                         Agrostis rossiae Vasey                                                                     KAR94    
   Agrostis ventricosa Gouan                                                                   Gastridium ventricosum (Gouan) Schinz & Thellung                                           KAR94    
   Agrostis verticillata Vill.                                                                 Polypogon viridis (Gouan) Breistr.                                                         KAR94    
   Agrostis virginica L.                                                                       Sporobolus virginicus (L.) Kunth                                                           KAR94    
   Ailanthus glandulosa Desf.                                                                  Ailanthus altissima (P. Mill.) Swingle                                                     KAR94    
   Aira atropurpurea Wahlenb.                                                                  Vahlodea atropurpurea (Wahlenb.) Fries ex Hartman                                          KAR94    
   Aira danthonioides Trin.                                                                    Deschampsia danthonioides (Trin.) Munro                                                    KAR94    
   Aira elongata Hook.                                                                         Deschampsia elongata (Hook.) Munro                                                         KAR94    
