Holstein
Changes in May 2006 productive life and Net Merit using formulas to be implemented August 2006
PL diff is NewPL - (1.4 x OldPL) [see: http://aipl.arsusda.gov/reference/changes/eval0608.html]
UNOFFICIAL - NOT TO BE USED FOR ADVERTISING!  

                   ________PL_______ _REL__   ___NM$___
Bull ID             New   Old  Diff  New Old  Old  Diff NAAB Code  Name
HOUSA000129409001   1.7   1.3  -0.1  62  64   390   -53 007HO06863 QUICKLAND KILO MAX-ET
HOUSA000130772536  -0.4   0.2  -0.7  66  69   390   -57 029HO10784 NEU-WAY ADDISON APOLLO-ET
HOUSA000130633352   0.2   0.3  -0.2  52  53   389   -63 107HO01211 MORNINGVIEW JACE-ET
HOUSA000128430112   2.3   2.0  -0.5  68  72   388   -17 001HO06685 HUMDINGER DECISION PETER-ET
HOUSA000129144632   2.2   1.0   0.8  69  73   388   -12 001HO06702 SHADE-E-LANE-V DURANGO-ET
HOUSA000129795007  -0.3  -0.4   0.3  44  46   388   -42 100HO09605 BRANDT-VIEW COPPER COIN-ET
HOUSA000129865603   0.0  -0.2   0.3  66  69   388   -42 007HO06820 RICECREST CHADWICK-ET
HOUSA000017306378   3.9   3.7  -1.3  88  91   387   -13 001HO06265 LAKE-EFFECT BOLD SPIRIT
HOUSA000123432285   1.1   0.7   0.1  49  50   387   -20 044HO00309 AIR-HCV WINCHESTER 1511
HOUSA000130598211   0.9   1.2  -0.8  65  68   387   -59 001HO06916 EMERALD-ACR-SA GILMORE
HOUSA000125932660   3.1   2.1   0.2  70  73   386    -2 044HO00292 SANDY-VALLEY BILLBOARD-ET
HOUSA000125974709   1.0   1.4  -1.0  71  75   386   -44 029HO10141 APPLOUIS MARTY ORSON-ET
HOUSA000060050314   3.6   2.6  -0.0  75  78   385    50 029HO10454 PARADISE-R MTOTO RESPECT-ET
HOUSA000060244427   0.1  -0.2   0.4  64  67   385   -41 014HO03842 NED-EL EMERSON GUTHRIE-ET
HOUSA000126803365   1.7   1.1   0.2  66  69   385    -4 011HO06701 EVER-GREEN-VIEW ELWOOD-ET
HOUSA000060077563   3.0   1.7   0.6  68  72   384    37 007HO07076 ART-ACRES MTOTO BILL 469
