! Converted to time format with year at start.
!
! 03/20/86 CAROLYN DRS$DATA:[CAROLYN.JON]MELV70BS.200;
! DUA0:[DATA.][CAROLYN.JON]FMTA.EXE;
! (dy,hr,min,sec,tenths,mst_obs)
! (i3.3,3i2.2,i1.1,t12,f7.1)
!  
!*REDUCED MAGNETICS  BERING SEA  MELVILLE-70-BS               LINES M1 - M4  
! DATA: ID,LINE,JD,IH,AM,OBS,REG,RES,LAT,LONG,CSE,SPD  
! FORMAT(A2,2X,I1,I3,I2,I2,T15,I5,T25,F6.0,T32,F6.0,T39,F8.4,T49,F9.4,T60,F5.1,T66,F4.1)  
!      
19702090455000 51260.0
19702090500000 51299.0
19702090505000 51342.0
19702090510000 51375.0
19702090515000 51398.0
19702090520000 51398.0
19702090525000 51397.0
19702090530000 51400.0
19702090535000 51394.0
19702090540000 51368.0
19702090545000 51323.0
19702092218000 51299.0
19702092223000 51353.0
19702092227000 51360.0
19702092232000 51366.0
19702092237000 51375.0
19702092242000 51387.0
19702092247000 51402.0
19702092252000 51430.0
19702092257000 51455.0
19702092302000 51479.0
19702092307000 51501.0
19702092312000 51514.0
19702092317000 51521.0
19702092322000 51520.0
19702092327000 51508.0
19702092332000 51490.0
19702092337000 51467.0
19702092342000 51440.0
19702092347000 51410.0
19702092352000 51389.0
19702092357000 51362.0
19702100002000 51319.0
19702100007000 51297.0
19702100012000 51275.0
19702100017000 51262.0
19702100022000 51249.0
19702100027000 51236.0
19702100032000 51221.0
19702100038000 51212.0
19702100043000 51215.0
19702100048000 51234.0
19702100053000 51268.0
19702100059000 51316.0
19702100104000 51331.0
19702100109000 51317.0
19702100114000 51286.0
19702100119000 51281.0
19702100125000 51274.0
19702100130000 51255.0
19702100135000 51256.0
19702100140000 51290.0
19702100145000 51341.0
19702100150000 51390.0
19702100155000 51423.0
19702100200000 51473.0
19702100205000 51516.0
19702100210000 51554.0
19702100215000 51598.0
19702100220000 51642.0
19702100225000 51681.0
19702100230000 51700.0
19702100235000 51690.0
19702100240000 51657.0
19702100245000 51614.0
19702100250000 51574.0
19702100255000 51545.0
19702100300000 51526.0
19702100305000 51501.0
19702100310000 51486.0
19702100315000 51488.0
19702100320000 51491.0
19702100325000 51491.0
19702100330000 51486.0
19702100334000 51469.0
19702100339000 51446.0
19702100344000 51420.0
19702100349000 51396.0
19702100354000 51376.0
19702100359000 51375.0
19702100404000 51393.0
19702100409000 51415.0
19702100414000 51424.0
19702100419000 51401.0
19702100424000 51362.0
19702100429000 51333.0
19702100434000 51336.0
19702100439000 51351.0
19702100444000 51378.0
19702100449000 51413.0
19702100454000 51439.0
19702100459000 51456.0
19702100504000 51467.0
19702100509000 51478.0
19702100514000 51494.0
19702100519000 51528.0
19702100524000 51550.0
19702100529000 51575.0
19702100534000 51599.0
19702100539000 51626.0
19702100544000 51650.0
19702100549000 51659.0
19702100554000 51627.0
19702100559000 51570.0
19702100604000 51545.0
19702100609000 51569.0
19702100614000 51600.0
19702100619000 51631.0
19702100624000 51644.0
19702100628000 51633.0
19702100633000 51598.0
19702100638000 51566.0
19702100643000 51567.0
