SUMLEV,STATE,COUNTY,STNAME,CTYNAME,SEX,ORIGIN,RACE,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004
050,34,017,New Jersey,Hudson County,0,2,06,3825,3825,5074,5193,5314,5425,5534
050,34,019,New Jersey,Hunterdon County,0,1,01,112711,112711,113313,115152,116352,117133,117811
050,34,019,New Jersey,Hunterdon County,0,1,02,2656,2656,2789,2875,2978,3109,3290
050,34,019,New Jersey,Hunterdon County,0,1,03,120,120,127,137,136,137,151
050,34,019,New Jersey,Hunterdon County,0,1,04,2379,2379,2423,2645,2840,3123,3421
050,34,019,New Jersey,Hunterdon County,0,1,05,28,28,0,0,0,0,1
050,34,019,New Jersey,Hunterdon County,0,1,06,724,724,568,597,634,687,724
050,34,019,New Jersey,Hunterdon County,0,2,01,2969,2969,3044,3219,3457,3749,3947
050,34,019,New Jersey,Hunterdon County,0,2,02,244,244,242,247,260,274,279
050,34,019,New Jersey,Hunterdon County,0,2,03,64,64,58,60,63,60,62
050,34,019,New Jersey,Hunterdon County,0,2,04,22,22,30,30,29,31,36
050,34,019,New Jersey,Hunterdon County,0,2,05,11,11,3,6,4,5,5
050,34,019,New Jersey,Hunterdon County,0,2,06,61,61,21,24,18,23,19
050,34,021,New Jersey,Mercer County,0,1,01,226487,226487,226601,225687,224556,223119,221526
050,34,021,New Jersey,Mercer County,0,1,02,68878,68878,69250,69747,70121,70851,71807
050,34,021,New Jersey,Mercer County,0,1,03,440,440,461,468,496,523,535
050,34,021,New Jersey,Mercer County,0,1,04,17578,17578,17578,19190,20981,23009,25552
050,34,021,New Jersey,Mercer County,0,1,05,185,185,224,252,275,302,334
050,34,021,New Jersey,Mercer County,0,1,06,3295,3295,3186,3377,3556,3765,4016
050,34,021,New Jersey,Mercer County,0,2,01,29365,29365,29793,31422,32959,34781,36474
050,34,021,New Jersey,Mercer County,0,2,02,3131,3131,3174,3223,3262,3348,3439
050,34,021,New Jersey,Mercer County,0,2,03,353,353,323,333,346,363,385
050,34,021,New Jersey,Mercer County,0,2,04,185,185,309,317,326,333,353
050,34,021,New Jersey,Mercer County,0,2,05,303,303,247,252,258,277,288
050,34,021,New Jersey,Mercer County,0,2,06,561,561,432,462,486,520,562
050,34,023,New Jersey,Middlesex County,0,1,01,469167,469167,468968,462912,456119,449810,443773
050,34,023,New Jersey,Middlesex County,0,1,02,65541,65541,65614,67018,67996,69252,70666
050,34,023,New Jersey,Middlesex County,0,1,03,866,866,981,1014,1037,1061,1113
050,34,023,New Jersey,Middlesex County,0,1,04,105445,105445,106985,114768,122838,129841,136278
050,34,023,New Jersey,Middlesex County,0,1,05,228,228,220,227,243,257,268
050,34,023,New Jersey,Middlesex County,0,1,06,6975,6975,7406,7785,8132,8488,8871
050,34,023,New Jersey,Middlesex County,0,2,01,90006,90006,91172,95825,100298,104675,108896
050,34,023,New Jersey,Middlesex County,0,2,02,7913,7913,8057,8645,9232,9861,10529
050,34,023,New Jersey,Middlesex County,0,2,03,1204,1204,1147,1208,1278,1336,1393
050,34,023,New Jersey,Middlesex County,0,2,04,761,761,691,710,739,760,788
050,34,023,New Jersey,Middlesex County,0,2,05,227,227,90,95,98,100,105
050,34,023,New Jersey,Middlesex County,0,2,06,1829,1829,1733,1894,2059,2231,2415
050,34,025,New Jersey,Monmouth County,0,1,01,497857,497857,498692,500187,502441,503779,503935
050,34,025,New Jersey,Monmouth County,0,1,02,48709,48709,49058,49174,48974,48950,48795
050,34,025,New Jersey,Monmouth County,0,1,03,604,604,622,636,656,677,681
