! Converted to time format with year at start.
!
! 01/17/86 KAYE DUA0:[DATA.S378SC.N]S378SC.620;
! DRB0:[DRS.REFMT]REFORMAT.EXE;5
! (dy,hr,min,sec,tenths,event,numpair(station,range))
! (i3.3,3i2.2,i1.1,t12,i3.3,<numpair>(1x,a2,1x,f8.1))
!  
19781451647250 000 01 166403.0 02  93951.0
19781451649320 000 01 166348.0 02  93929.0
19781451650420 000 01 166322.0 02  93909.0
19781451651500 000 01 166306.0 02  93888.0
19781451653310 000 01 166251.0 02  93892.0
19781451654480 000 01 166232.0 02  93878.0
19781451655380 000 01 166205.0 02  93868.0
19781451657210 000 01 166161.0 02  93864.0
19781451705440 000 01 165986.0 02  93779.0
19781451707380 000 01 165944.0 02  93740.0
19781451708210 000 01 165921.0 02  93735.0
19781451709570 000 01 165883.0 02  93695.0
19781451711520 000 01 165841.0 02  93653.0
19781451714040 000 01 165792.0 02  93615.0
19781451715090 000 01 165760.0 02  93605.0
19781451716310 000 01 165725.0 02  93597.0
19781451723410 000 01 165725.0 02  93520.0
19781451735020 000 01 165518.0 02  93254.0
19781451753050 000 01 164860.0 02  92982.0
19781451755070 000 01 164818.0 02  92960.0
19781451756180 000 01 164810.0 02  92971.0
19781451800300 000 01 164730.0 02  93014.0
19781451801250 000 01 164711.0 02  93026.0
19781451807270 000 01 164606.0 02  93121.0
19781451813130 000 01 164488.0 02  93203.0
19781451815580 000 01 164411.0 02  93236.0
19781451818550 000 01 164248.0 02  93285.0
19781451821070 000 01 164122.0 02  93336.0
19781451822100 000 01 164063.0 02  93360.0
19781451823470 000 01 163972.0 02  93402.0
19781451829430 000 01 163625.0 02  93533.0
19781451831590 000 01 163505.0 02  93583.0
19781451833130 000 01 163421.0 02  93597.0
19781451834180 000 01 163364.0 02  93640.0
19781451840590 000 01 162994.0 02  93764.0
19781451842450 000 01 162905.0 02  93773.0
19781451844160 000 01 162836.0 02  93837.0
19781451846000 000 01 162724.0 02  93861.0
19781451847090 000 01 162661.0 02  93919.0
19781451848100 000 01 162591.0 02  93928.0
19781451849040 000 01 162556.0 02  93956.0
19781451850140 000 01 162482.0 02  93962.0
19781451851210 000 01 162431.0 02  94000.0
19781451852260 000 01 162370.0 02  94015.0
19781451854040 000 01 162286.0 02  94047.0
19781451855100 000 01 162227.0 02  94077.0
19781451856050 000 01 162173.0 02  94101.0
19781451857390 000 01 162086.0 02  94139.0
19781451859400 000 01 162038.0 02  94109.0
19781451900450 000 01 162009.0 02  94062.0
19781451901510 000 01 161994.0 02  94047.0
19781451903520 000 01 161970.0 02  93989.0
19781451905000 000 01 161953.0 02  93949.0
19781451905580 000 01 161934.0 02  93939.0
19781451907100 000 01 161929.0 02  93892.0
19781451909340 000 01 161913.0 02  93814.0
19781451910430 000 01 161901.0 02  93784.0
19781451911460 000 01 161885.0 02  93767.0
19781451913310 000 01 161863.0 02  93688.0
19781451914470 000 01 161837.0 02  93664.0
19781451915440 000 01 161844.0 02  93614.0
19781451916120 000 01 161842.0 02  93621.0
19781451917040 000 01 161829.0 02  93600.0
19781451919000 000 01 161811.0 02  93528.0
19781451920020 000 01 161816.0 02  93517.0
