"uscode","sic","empflag","emp","qp1","ap","est","f1_4","e1_4","q1_4","a1_4","n1_4","f5_9","e5_9","q5_9","a5_9","n5_9","f10_19","e10_19","q10_19","a10_19","n10_19","f20_49","e20_49","q20_49","a20_49","n20_49","f50_99","e50_99","q50_99","a50_99","n50_99","f100_249","e100_249","q100_249","a100_249","n100_249","f250_499","e250_499","q250_499","a250_499","n250_499","f500_999","e500_999","q500_999","a500_999","n500_999","f1000","e1000","q1000","a1000","n1000"
"98","4142",,8311,28536,125747,357,,193,488,3700,110,"D",0,0,0,59,,934,2767,12250,71,,2119,6717,30507,69,,1761,6646,31468,27,,2606,9721,38283,20,"D",0,0,0,1,,0,0,0,0,,0,0,0,0
"98","4150",,105448,278600,1072994,3355,"D",0,0,0,1188,,3067,6496,21488,457,,7441,16474,61448,535,,19180,47754,181496,608,,22075,57671,227440,314,,29615,82104,318766,200,,13265,41106,157995,40,,7605,21235,78948,12,"D",0,0,0,1
"98","4170",,1836,6559,30253,184,"D",0,0,0,107,"D",0,0,0,34,,262,1131,4740,19,,575,1765,7205,18,,359,1300,6653,5,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","4200",,1574833,9115158,38501687,103269,,95709,385169,2035869,56675,,117540,535401,2285903,17656,,183675,912430,3887325,13450,,313804,1706802,7236795,10326,,218722,1253922,5244540,3225,,206515,1201469,4985750,1410,,111467,673700,2783896,325,,71569,466271,1942100,107,,255832,1979994,8099509,95
"98","4210",,1458847,8548926,36078168,90709,,82030,329223,1730168,48629,,104856,478815,2045108,15737,,166958,833502,3551330,12212,,285568,1566060,6652851,9392,,200132,1151311,4824720,2946,,188796,1108830,4604444,1284,,106509,647340,2678460,311,"D",0,0,0,104,"D",0,0,0,94
"98","4220",,89363,447960,1862790,7532,,9083,37198,166930,4427,,8106,36691,156498,1215,,11041,55664,235533,815,,21643,112208,465944,707,,15875,89094,361657,238,,16093,86343,353729,114,"D",0,0,0,13,"D",0,0,0,2,"D",0,0,0,1
"98","4221",,7044,32095,135582,723,,621,2746,16622,370,,862,3580,15958,127,,1789,7458,32620,130,,2336,9811,38334,78,,904,5919,22306,15,"D",0,0,0,2,"D",0,0,0,1,,0,0,0,0,,0,0,0,0
"98","4222",,19561,104793,437490,934,,595,2229,15249,289,,1404,6374,27204,205,,2297,12470,53181,168,,5431,28513,120852,178,,4002,22846,93749,60,,4599,26096,104456,31,,1233,6265,22799,3,,0,0,0,0,,0,0,0,0
"98","4225",,45075,214077,886687,4495,,6509,25263,101884,3050,,3908,17940,74915,595,,4857,25221,104644,362,,10015,52189,219515,325,,6521,33533,136199,98,,7516,37267,155694,54,"D",0,0,0,8,"D",0,0,0,2,"D",0,0,0,1
"98","4226",,16259,91337,380176,1126,,1083,5636,25156,526,,1684,7887,34153,250,,1949,9895,42214,144,,3571,20903,84699,116,,4397,26525,108399,64,,3575,20491,85555,26,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","4230",,2699,15397,66203,147,,91,511,2441,49,,188,1078,4807,26,,338,1886,8454,25,,1062,5818,23379,34,,653,4042,16303,10,,367,2062,10819,3,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","4400",,158031,1110395,4810450,7088,,6020,35427,230202,3683,,8568,44233,201836,1274,,12046,67012,293340,902,,20750,126032,600300,673,,18347,118667,516327,262,,29251,204176,862763,191,,23076,161879,663013,66,,15785,106232,425983,22,,24188,246737,1016686,15
