Section P
September 1951 - July 1969
P-1 through P-____?

Public release photos of JPL projects, visitors to JPL, portraits and group photos of employees, social events, club activities, early facilities photos,  ...

There are 17 P-numbered photo albums ... when visiting the Archives to view photos, please request specific photo album numbers, such as photo album P1, or P17.

Dates seen in the index are the dates the photographs were entered into the Photo Lab index and filed.  This is not necessarily the date the photo was actually taken.

(U) - Unclassified


Photo Album P1  (Contains photograph numbers P-1 through P-____)

Date
Entered	Photo #	Description				
9-20-55	P-542		Presentation of Ten-year pins, Dr. William Pickering, E. Pierce, Dr. David
Altman


9-20-55	P-543		Presentation of Ten-year pins, Dr. William Pickering, E. Pierce, Jim Cameron
9-20-55	P-544		Presentation of Ten-year pins, Dr. William Pickering, E. Pierce, Art Giggar
9-27-55	P-545AB	Presentation of Ten-year pins
9-30-55	P-546		Golf trophy winners
10-3-55	P-547		New officers of Rod and Gun Club
10-3-55	P-548		Display board, encapsulated electronic circuits and components
10-3-55	P-549		Display board, experimental rocket test motor
10-4-55	P-550		Baseball trophy winners
10-6-55	P-551ABC	New baseball trophy
10-6-55	P-552		Rep. Carl Hinshaw and Dr. William Pickering
10-6-55	P-553		ERC District Council of Representatives
10-20-55	P-554		1905 Buick and 1956 in G in front of warehouse
10-22-55	P-555		JPL Dance
10-22-55	P-556		JPL Dance
10-22-55	P-557		JPL Dance
10-22-55	P-558		JPL Dance
10-22-55	P-559		JPL Dance
10-22-55	P-560		JPL Dance
10-22-55	P-561		JPL Dance
10-22-55	P-562		JPL Dance
10-22-55	P-563		JPL Dance
10-22-55	P-564		JPL Dance
10-27-55	P-565		Cafeteria personnel
10-28-55	P-566		Welcoming Fred Vogel back to work
11-4-55	P-567		Golf Club officers, Padgham, Welty and Teegarden
11-8-55	P-568		Summer bowling champions
11-11-55	P-569		Mr. Larson and Mr. Ireland sitting at desk
11-11-55	P-570		V.C. Larsen at desk
11-21-55	P-571		High stream rate tester in bldg. 84
11-21-55	P-572		Fitzgerald apparatus in bldg. 84


11-23-55	P-573		Jack Froelich, portraits
11-28-55	P-574AB	Telemetering equipment
12-2-55	P-575		Booklet rack
12-3-55	P-576ABCD	JPL Christmas Dance
12-3-55	P-577ABCD	JPL Christmas Dance
12-3-55	P-578ABCD	JPL Christmas Dance
12-3-55	P-579ABCD	JPL Christmas Dance
12-3-55	P-580ABCD	JPL Christmas Dance
12-3-55	P-581ABCD	JPL Christmas Dance
12-3-55	P-582ABCD	JPL Christmas Dance
12-3-55	P-583ABCD	JPL Christmas Dance
12-3-55	P-584ABCD	JPL Christmas Dance
12-3-55	P-585ABCD	JPL Christmas Dance
12-3-55	P-586ABCD	JPL Christmas Dance
12-3-55	P-587ABC	JPL Christmas Dance
12-5-55	P-588AB	Children's Christmas Party Committee
12-7-55	P-589		1956 ERC officers [B]
12-7-55	P-590		1956 ERC officers
12-12-55	P-591A-E	Secretary Higgins, General Clark visit
12-8-55	P-592		Joanne and Sylvia with Cockatiel
12-19-55	P-593ABC	JPL Toy Drive, Christmas 1955
12-19-55	P-594ABCD	JPL Christmas Party
12-19-55	P-595AB	JPL Christmas Party
12-19-55	P-596ABC	JPL Christmas Party
12-19-55	P-597ABCD	JPL Christmas Party
12-19-55	P-598ABCD	JPL Christmas Party
12-22-55	P-599AB	Messerschmidt auto
1-2-56		P-600		Mercedes Benz 300SL
2-3-56		P-601ABC	Lower cafeteria facilities


2-3-56		P-602A-E	Lower cafeteria personnel shots
2-2-56		P-603		Opening ceremonies, east cafeteria
2-9-56		P-604ABC	Dr. Gates
2-9-56		P-605		Presentation of ten-year pins
2-9-56		P-606		Presentation of ten-year pins
2-9-56		P-607		Presentation of ten-year pins
2-9-56		P-608		Presentation of ten-year pins
2-13-56	P-609		Credit Union officers and staff
2-13-56	P-610		Bud Witten, Ray Stricker
2-14-56	P-611		Bumper WAC
2-14-56	P-612		Composite Corporal and Sergeant control vanes
2-13-56	P-613		Archery Club
2-14-56	P-614		Dr. Winn
2-15-56	P-615		ERC Board of Regents
2-2-56		P-616AB	Party for Ed Killian
3-9-56		P-617		Reproductions Section office
3-9-56		P-618AB	Reproductions Section, Ozalid machine operation
3-9-56		P-619		Reproductions Section, "Big Chief" and multiple machine operations
3-9-56		P-620		Reproductions Section, Xerox operation
3-8-56		P-621ABCD	Cold hearth arc melting furnace
3-15-56	P-622		Stir symposium
4-2-56		P-623ABCD	Hobby show
4-2-56		P-624ABC	Hobby show
4-9-56		P-625AB	Archery Club officers
4-9-56		P-626AB	Softball practice
4-9-56		P-627		Employees who have donated one gallon of blood to the blood bank
4-9-56		P-628		Registration of voters
4-9-56		P-629		Presentation of award
4-9-56		P-630		Dave Browne and Stan Locke


4-9-56		P-631ABCD	Caltech Hobby Show
4-16-56	P-632AB	X-ray diffraction unit
4-19-56	P-633		Wave vibration testing equipment
4-19-56	P-634		Birthday party for Louise Marshall
4-19-56	P-635		Brochure, personnel office
4-19-56	P-636		Brochure, library
4-23-56	P-637AB	Brochure, computing room
4-23-56	P-638		Brochure, computing room
4-23-56	P-639		Brochure
4-23-56	P-640		Brochure, electronic sequence timer
4-24-56	P-641		Sports heading
4-26-56	P-642		JPL brochure, Photo Lab
4-19-56	P-643		Dr. William Pickering presenting John Shimmin with his ten-year pin at WSPG
4-30-56	P-644		Bowling champions, Glendale League
5-1-56	P-645A-F	Brochure-hallway
5-4-56	P-646A-E	JPL blood donors
5-5-56	P-647ABCD	20-inch wind tunnel brochure 
4-8-56	P-648ABC	Miss Guided Missile candidates
5-7-56	P-649AB	Ten-year pin awards
5-9-56	P-650ABCD	Baseball team
5-9-56	P-651A-G	Brochure, Dr. William Pickering
5-9-56	P-652		Report Group drafting room
5-10-56	P-653		Report Group typists
5-10-56	P-654		Report Group, Teletype room
5-9-56	P-655AB	Report Group
5-9-56	P-656ABC	Plotting machine brochure
5-11-56	P-657ABCD	Reflection at JPL
5-15-56	P-658A-L	Spring Dance, Elk's Club
5-15-56	P-659A-L	Spring Dance, Elk's Club
5-15-56	P-660A-L	Spring Dance, Elk's Club


5-13-56	P-661D-L	Spring Dance, Elk's Club
5-15-56	P-662AB	Library
5-9-56	P-663		Ten-year pin award, V.C. Larsen, Elmer Tharp
5-9-56	P-664		Ten-year pin award, V.C. Larsen, Cliff Casabianca
5-9-56	P-665		Ten-year pin award, V.C. Larsen, G Fletcher
5-9-56	P-666		Ten-year pin award, V.C. Larsen, Jack Lorrell
5-9-56	P-667		Ten-year pin award, V.C. Larsen, Bob Kimple
5-9-56	P-668		Ten-year pin award, V.C. Larsen, Clint Hill
5-9-56	P-669		Ten-year pin award, V.C. Larsen, Lois Taylor
5-9-56	P-670		Ten-year pin award, V.C. Larsen, Don Sherff
5-9-56	P-671		Ten-year pin award, V.C. Larsen, Margaret Jepson
5-9-56	P-672		Ten-year pin award, V.C. Larsen, E. Schoolcraft
5-9-56	P-673		Ten-year pin award, V.C. Larsen, P. Dewdney
5-9-56	P-674		Ten-year pin award, V.C. Larsen, K. Wenton
5-9-56	P-675		Ten-year pin award, V.C. Larsen, Robert Byer
5-9-56	P-676		Ten-year pin award, V.C. Larsen, Harold Thruman
5-9-56	P-677		Ten-year pin award, V.C. Larsen, Bernard Brown
5-9-56	P-678ABCD	JPL Spring Dance
5-12-56	P-679ABCD	JPL Spring Dance
5-12-56	P-680ABC	JPL Spring Dance
5-12-56	P-681ABC	JPL Spring Dance
5-17-56	P-682		JPL scene shot from Flintridge
5-17-56	P-683		Archery tournament
5-17-56	P-684		Management Club meeting at C.W.T.
5-17-56	P-685		Management Club meeting at C.W.T.
5-17-56	P-686		Management Club meeting at C.W.T.
5-17-56	P-687		Brochure pictures, Jack McKinny, 81 Secretary


5-31-56	P-688AB	Credit Union office staff
6-1-56		P-689		Dance Committee
6-1-56		P-690AB	Promotion of J. James and C. Cummings
6-14-56	P-691		Dr. William Pickering, passport photo
6-22-56	P-692AB	Lost and found articles
7-2-56		P-693		New Lab cars
7-6-56		P-694		DKW display
7-11-56	P-695AB	Generals
8-1-56		P-696		Picnic gate prizes
8-2-56		P-697		Dr. William Pickering and V.C. Larsen
8-8-56		P-698ABC	TB x-ray
8-8-56		P-699AB	Rear Admiral J.H. Sides Murphree, Bryant Pickering and
Millakan
8-16-56	P-700		Golf trophy winners
8-29-56	P-701AB	Bowling winners
8-21-56	P-702AB	Division chiefs and staff engineers
9-4-56		P-703		John Burke
9-4-56		P-704		Bowling team, Cool Five
8-29-56	P-705		Baseball trophies
9-12-56	P-706		Coffee machine and girl
9-11-56	P-707		Ten-year pin awards, Dr. William Pickering, Jack Walker, Gene Pierce
9-11-56	P-708		Ten-year pin awards, Dr. William Pickering, ?, Gene Pierce
9-11-56	P-709		Ten-year pin awards, Dr. William Pickering, ?, Gene Pierce
9-11-56	P-710		Ten-year pin awards, Dr. William Pickering, Harry Margrect, Gene 
Pierce
9-11-56	P-711		Ten-year pin awards, Dr. William Pickering, Harold Halloway, Gene 
Pierce
9-11-56	P-712		Ten-year pin awards, Dr. William Pickering, ? Atkinson, Gene Pierce
9-11-56	P-713		Ten-year pin awards, Dr. William Pickering, Jim Creson, Gene Pierce
9-11-56	P-714		Ten-year pin awards, Dr. William Pickering, Russel Bird, Gene Pierce
9-11-56	P-715		Ten-year pin awards, Dr. William Pickering, ?, Gene Pierce
9-11-56	P-716		Ten-year pin awards, Dr. William Pickering, Lovis ?, Gene Pierce


9-11-56	P-717		Ten-year pin awards, Dr. William Pickering, ?, Gene Pierce
9-11-56	P-718		Ten-year pin awards, Dr. William Pickering, ?, Gene Pierce
9-11-56	P-719		Ten-year pin awards, Dr. William Pickering, ?, Gene Pierce
9-11-56	P-720		Ten-year pin awards, Dr. William Pickering, ?, Gene Pierce
9-11-56	P-721		Ten-year pin awards, group picture
9-18-56	P-722AB	Major General Osborne visits JPL
9-27-56	P-723ABC	Pat Barnes in office
10-3-56	P-724A-E	Shots of JPL cafeteria, building 111 and JPL (color)
10-5-56	P-725AB	New district representatives
10-8-56	P-726		ERC representatives
10-9-56	P-727		Bowling plaque
10-23-56	P-728		District representation
11-1-56	P-729ABC	Blood bank pictures
11-1-56	P-730ABC	Blood bank pictures
11-2-56	P-731		Tuppcr, National Safety Council award
11-2-56	P-732AB	JPL bus
11-7-56	P-733		Golf champions
11-9-56	P-734		New fire truck
11-12-56	P-735		Rod and Gun Club officers
11-14-56	P-736A-E	Management Club tour of JPL
11-2-56	P-737		Rusty Bond going away party at FOTS office, WSPG
11-2-56	P-738		Shorty Correll party at FOTS, WSPG
11-26-56	P-739		Boat
12-10-56	P-740		Toy pile
12-10-56	P-741		Bob Imus
12-8-56	P-742		Nick Bokarica's Christmas Party
12-6-56	P-743		Children's Christmas Party Committee


12-?-56	P-744ABCD	General Christmas Declaration
12-13-56	P-745		ERC officers
12-17-56	P-746ABCD	Christmas Mix
12-17-56	P-747ABCD	Christmas Mix
12-17-56	P-748ABCD	Christmas Mix
12-17-56	P-749ABCD	Christmas Mix
12-17-56	P-750ABCD	Christmas Mix
12-17-56	P-751ABCD	Christmas Mix
12-17-56	P-752ABCD	Children's Christmas Party
12-17-56	P-753ABCD	Children's Christmas Party
12-17-56	P-754A-E	Children's Christmas Party
12-28-56	P-755ABC	Presenting ten-year pin
12-28-56	P-756ABCD	Presenting ten-year pin
12-28-56	P-757ABCD	Presenting ten-year pin
12-28-56	P-758ABCD	Presenting ten-year pin
12-28-56	P-759ABCD	Presenting ten-year pin
12-31-56	P-760		Volkswagen
1-3-57		P-76l		Dance Committee
1-7-57		P-762		Dr. William Pickering
1-8-57		P-763		Basketball team, group picture and action shots
1-10-57	P-764ABCD	Christmas Party of orphans home
1-16-57	P-765		Christmas cards
1-21-57	P-766ABCD	Ten-year award pins
1-30-57	P-767		Trophy case, 2-7-57
2-7-57		P-768AB	New buildings
2-7-57		P-769ABC	Dance Committee at Breakfast Club
2-7-57		P-770		Booklet rack with props
2-15-57	P-771ABC	Athletic Club dinner at Rands Rancho
2-19-57	P-772		Cummings and Spinks


2-26-57	P-773AB	John Small
2-26-57	P-774AB	Bob Parks
2-26-57	P-775		Dr. Froelich
2-25-57	P-776AB	Cliff Cummings
2-27-57	P-777AB	Dr. Jack Froelich
3-6-57		P-778AB	Credit Union officers
3-7-57		P-7791 to 6	Dr. Rittenhouse, portrait
3-12-57	P-780AB	Sam Sheet's truck
3-12-57	P-781ABCD	Queen contestants
3-14-57	P-782ABCD	Al Richardson
3-15-57	P-783A-F	R.A. Buckley
3-21-57	P-784ABC	Dinner party for John Small
3-21-57	P-785A-E	General at dedication
3-22-57	P-786		Big lift
3-27-57	P-787ABCD	Archery Club
3-30-57	P-788ABC	Dr. von Karman, color portraits
4-3-57		P-789ABCD	JPL baseball practice
4-4-57		P-790AB	Polio shots
4-4-57		P-791ABC	MGM parade
4-4-57		P-792ABC	MGM parade
4-4-57		P-793ABC	MGM propaganda
4-5-57		P-794AB	Dance publicity car
4-6-57		P-795AB	Coronation Ball
4-6-57		P-796ABCD	Coronation Ball
4-6-57		P-797ABCD	Coronation Ball
4-6-57		P-798ABCD	Coronation Ball
4-6-57		P-799ABCD	Coronation Ball
4-6-57		P-800ABCD	Coronation Ball
4-6-57		P-801AB	Miss Guided Missile
4-9-57		P-802ABCD	Guard W.R. Andersen


4-9-57		P-803ABC	Guard A. Army
4-9-57		P-804A-E	Visitors on Youth Day
4-3-57		P-805		Dr. von Karman
4-12-57	P-806		Acid-hydrazine test (color)
4-17-57	P-807A-E	JPL blood bank
4-23-57	P-808ABCD	Section 8 photos
4-23-57	P-809ABCD	Section 8 photos
4-23-57	P-810ABCD	Section 8 personnel group
4-23-57	P-811AB	Section 8 photos
4-24-57	P-812		Section 8 personnel
4-24-57	P-813AB	Hap Heimlick
4-25-57	P-814AB	Elizabeth Beghetti
4-29-57	P-815ABCD	Archery range, shooting range
4-26-57	P-816AB	Julian Nielsen
4-26-57	P-817ABCD	Julian Nielsen
5-1-57		P-818AB	Quarter midget racer with Jackie Jeffreys model
5-6-57		P-819		Bowling trophy
5-7-57		P-820AB	Bowling clubs winners
5-9-57		P-821ABC	Ten-year awards
5-9-57		P-822ABCD	Ten-year awards
5-10-57	P-823ABCD	Ten-year awards
5-9-57		P-824ABCD	Ten-year awards
5-9-57		P-825ABCD	Ten-year awards
5-9-57		P-826AB	Stable platform
5-10-57	P-827		? and helicopter (color)
5-10-57	P-828		? and helicopter
5-10-57	P-829		? and helicopter
5-8-57		P-830ABC	Night shots of JPL from dam
5-21-57	P-831A-E	Boy Scouts tour missile
5-22-57	P-832ABC	Dr. Lee DuBridge receives safety award
5-22-57	P-833A-E	King Farrar
5-22-57	P-834A-F	Tom Vaughan



5-27-57	P-835		??????
???????	??????	???????
???????	P-837AB	???????
5-29-57	??	P-838		???????
6-5-57		??	?????		???????
6-5-57		??	?????		??? baseball team
??????		??	??????		???????
??????		??	??????		???????
??????		??	??????		??????
6-14-57	P-844AB	Boy Scout display
6-17-57	P-845ABCD	Publicity Lab
6-17-57	P-846ABCD	Publicity Lab
6-57		??	?????	???	?????
??????		??	??????		???????
6-18-57	??	P-849AB	?????
??????		??	??????		???????
6-25-57	??	??????		???????
??????		??	??????		???????
??????		??	??????		???????
??????		??	??????		???????
??????		??	??????		???????
??????		??	??????		???????
??????		??	??????		???????
??????		??	??????		???????
??????		??	??????		???????
??????		??	??????		???????
7-20-57	P-862A-E	Summer Dance
7-20-57	P-863ABCD	Summer Dance



8-30-57	P-864ABCD	Picnic publicity
8-31-57	P-865ABC	Picnic prizes
8-31-57	P-866ABCD	X-ray van
8-5-57		P-867AB	Dr. Richter (standing)
8-6-57		P-868		Microlock station
8-7-57		P-869		Stan's new office, bldg. 111 west
8-13-57	P-870ABCD	Golf winners
8-20-57	P-871AB	Alga Reece (guard)
8-24-57	P-872A-E	Army Secretary Brucker visits JPL
8-24-57	P-873ABCD	Army Secretary Brucker visits JPL
8-26-57	P-874		JPL Picnic
8-29-57	P-875		Baseball trophies
9-5-57		P-876ABC	Lieutenant Colonel McGiven
9-10-57	P-877		Ten-year pin group
9-10-57	P-878ABCD	Ten-year pins
9-10-57	P-879ABCD	Ten-year pins
9-10-57	P-880ABCD	Ten-year pins
9-10-57	P-881ABCD	Ten-year pins
9-13-57	P-882ABCD	Charles (cafeteria manager)
10-7-57	P-883		Jack Shafer, portrait
10-8-57	P-884		Coffee sling
10-8-57	P-885		Incinerator death
9-23-57	P-886		Ten-year pin to Chet Hytema (Change No. 193 to 886 )
10-17-57	P-887ABCD	Harvest Moon Ball
10-17-57	P-888ABCD	Harvest Moon Ball
10-17-57	P-889ABCD	Harvest Moon Ball
10-17-57	P-890ABCD	Harvest Moon Boll
10-24-57	P-891ABC	JPL Golf Club 
10-28-57	P-892		Lieutenant Colonel Bruce E. Shult


10-29-57	P-893AB	Golf Club champion
11-4-57	P-894A-E	Dr. William Pickering
11-5-57	P-895		Credit Union
11-6-57	P-896A-E	Christmas Dance publicity
11-6-57	P-897ABCD	Queen and Christmas toys
11-11-57	P-898A-E	Dr. Froelich, Dr. Goddard, and Bob Parkes, portrait
11-11-57	P-899ABCD	Dr. Froelich, Dr. Goddard, and Bob Parkes, portrait
11-13-57	P-900		ERC Council
11-20-57	P-901ABC	Butler bldg. 164
11-20-57	P-902AB	Mask instructor
11-21-57	P-903AB	Cliff Cummings, portrait
11-21-57	P-904AB	Dr. A R Hibbs, portrait
11-25-57	P-905		Athenaeum, Caltech
12-3-57	P-906ABCD	JPL kids' toys
12-3-57	P-907ABCD	Ralph Beal
12-3-57	P-908ABCD	Bill Bahly, portrait
12-3-57	P-909ABCD	John Small, portrait
12-2-57	P-910		Howard Wilson welding seam in payload shell (Life magazine)
12-2-57	P-911		Leslie Coler -Dark, drilling holes in support assembly (Life drop)
12-2-57	P-912		Jasse Cunninghan cutting lattice work in payload support (Life magazine)
12-2-57	P-913		Leslie Coler-Dark, Ben Brandt, Bruce Hutchison, payload shell
(Life magazine)
12-2-57	P-914		George E. Scherer- Surface plate layout support (Life magazine)
11-29-57	P-915		Dr. William Pickering and satellite (Life magazine)
12-2-57	P-916		Dr. Richter with low power beacon and comp. (Life magazine)
11-29-57	P-917ABC	Dr. William Pickering with final stage and satellite (Life magazine)
12-2-57	P-918AB	JPL engineers grouped around Explorer satellite payload no. 1
(Life magazine)
12-2-57	P-919		JPL satellite payload No.1 (Life magazine)
12-2-57	P-920ABC	Dr. Froelich with Satellite Payload No.1 (Life magazine)


12-2-57	P-921		Prelim low-power Beacon check-out set up (Life magazine)
12-4-57	P-922		John Small with nose cone of satellite (Life magazine)
12-4-57	P-923ABC	Nose cone of satellite with JPL personnel at Cooper Development Co.
(John Small, Gene Hendricies, Dee Trimble) (Life Magazine)
12-4-57	P-924		George Ludwig (Life magazine)
12-2-57	P-925		Clifford Finnie, total payload container and nose cone assembly
				(Life magazine)
12-2-57	P-926		Ken Wallace, soldering modulator unit
12-5-57	P-927ABCD	Bill Bahly, portrait
12-5-57	P-928AB	Walt Victor, portrait
12-5-57	P-929ABCD	Christmas toys
12-5-57	P-930		Blown up pressure can
12-9-57	P-931AB	Trash problem
12-10-57	P-932A-E	JPL Brohet Ball Team 
12-10-57	P-933		J.H. Wyld award to Dr. William Pickering
12-13-57	P-934ABC	Press release for Sergeant Gene Giberson?
12-13-57	P-935ABC	Press release for Sergeant Gene Giberson
12-13-57	P-936ABC	Press release for Sergeant Bob Parks
12-13-57	P-937ABC	Press release for Sergeant Bob Parks
12-16-57	P-938A-E	Charles V. Cole, portrait
12-17-57	P-939ABC	Christmas Dance
12-17-57	P-940ABCD	Christmas Dance
12-17-57	P-941ABCD	Christmas Dance
12-17-57	P-942ABCD	Christmas Dance
12-17-57	P-943ABCD	Christmas Dance
12-17-57	P-944AB	Christmas toys
12-23-57	P-945ABCD	Chess Club award presentation
12-21-57	P-946A-F	Children's Christmas Party
12-21-57	P-947A-F	Children's Christmas Party
12-21-57	P-948A-F	Children's Christmas Party
12-21-57	P-949A-F	Children's Christmas Party


12-23-57	P-950ABCD	Christmas decorations
12-30-57	P-951A-F	Chris Clausen, portrait
12-30-57	P-952ABCD	Leonard Piasecki, portrait
12-31-57	P-953ABCD	A.E. Wolfe, portrait
1-2-58		P-954A-E	Pete Harland, portrait
1-6-58		P-955AB	License renewal tabs, transportation
1-8-58		P-956AB	Christmas card collection
1-8-58		P-957AB	ERC meeting
1-9-58		P-958		Photo of deer at JPL
1-8-58		P-959AB	New coffee machine, bldg. 125
1-15-58	P-960ABCD	Dr. Ludwig, portrait
1-16-58	P-961AB	Dr. William Pickering posing with globe
1-17-58	P-962ABCD	Ten-year pin awards
1-17-58	P-963A-E	Ten-year pin awards
1-17-58	P-964ABCD	Ten-year pin awards
1-17-58	P-965		NBC Wide Wide World Picture Story
1-31-58	P-966ABCD	Picnic Committee
2-4-58		P-967A-E	Explorer party, JPL cafeteria
2-4-58		P-968A-E	Explorer party, JPL cafeteria
2-4-58		P-969AB	Rain water by east parking lot, JPL
2-4-58		P-970ABCD	JPL Radio Society offices (officers)
2-3-58		P-971ABC	JPL Satellite Computing Center
2-3-58		P-972ABC	JPL Satellite Computing Center
2-7-58		P-973		Leonand Sauer, ERS, Mick Bokarica
2-6-58		P-974A-E	JPL Library
2-7-58		P-975ABCD	JPL telephone girls
2-7-58		P-976ABCD	Dr. F.E. Goddard Jr., portrait
2-7-58		P-977ABC	Alpha Explorer (color and black and white)
2-12-58	P-978AB	Jack James, portrait
2-13-58	P-979		Explorer satellite


2-13-58	P-980AB	Cutaway photo of explorer model
2-14-58	P-981A-L	Terbeck's farewell party
2-14-58	P-982M-X	Terbeck's farewell party
2-17-58	P-983AB	Dr. Ricter and Guests, Radio Hanes
2-14-58	P-984A-E	Sam Benesch, portrait
2-17-58	P-985AB	Telegrams and headlines
2-17-58	P-986ABC	Vice-President Nixon visit to JPL (color)
2-17-58	P-987ABCD	Vice-President Nixon visit to JPL (color)
2-17-58	P-988ABC	Vice-President Nixon visit to JPL (color)
2-17-58	P-989ABCD	Vice-President Nixon visit to JPL (color)
2-17-58	P-990ABCD	Vice-President Nixon visit to JPL (color)
2-20-58	P-991ABC	G. Ludwig with Deal 2 cosmic ray, high power beacon
2-20-58	P-992ABCD	G. Ludwig with Deal 2 cosmic ray, high power beacon
2-21-58	P-993		Lab-Oratory cover (February 1958)
1-29-58	P-994ABCD	Miss Guided Missile Committee
2-25-58	P-995		Explorer Alpha (8 x 10 negative, same number)
2-25-58	P-996		Magnetic tape recorder (8 x 10 negative, same number)
2-25-58	P-997		Globe with Explorer orbit
2-26-58	P-998		Chet Stipe, portrait
2-26-58	P-999ABC	Training classes for technicians
2-26-58	P-1000ABCD	Training classes for technicians
2-26-58	P-1001ABC	Ten-year pin awards
2-27-58	P-1002		Globe
3-4-58		P-1003A-F	WAC Corporal send off
3-4-58		P-1004		Satellite data reduction center, Herb Phillips changing tape on
AMPEX recorder
3-4-58		P-1005		Satellite data reduction center, Dick Lowe checking Sanborn traces
3-4-58		P-1006		Satellite data reduction center, exterior
3-4-58		P-1007		Tele. data reduction la. Gene Hull, Glen Bullock Walt Becker
3-4-58		P-1008AB	Satellite data reduction center Dick Lowe and Gene Hull
3-4-58		P-1009		Tele. data reduction la. Mashall Newsted and Gene Bullock


3-10-58	P-1010	A-E	Stan Locks, Portrait
3-10-58	P-1011ABCD	Bill Cashman
3-12-58	P-1012		Queen contestants group
3-14-58	P-1013		Explorer 1, 8x10 negative
3-14-58	P-1013		Explorer 1, 4x5 negative
3-14-58	P-1014ABCD	Publicity shots, Dr. Froelich
3-14-58	P-1015ABCD	Publicity photos: Victor, Hibbs, Bwdalda, Richter
3-17-58	P-1016		Deal 3 cutaway drawing
3-17-58	P-1017ABCD	Aerial photos of JPL
3-17-58	P-1018ABCD	Aerial photos of JPL
3-24-58	P-1019ABCD	Dr. William Pickering, shrine JPL display
3-24-58	P-1020ABCD	JPL display shrine
3-24-58	P-1021ABCD	Dr. William Pickering, shrine press
3-24-58	P-1022ABCD	Dr. William Pickering, JPL display shrine press
3-25-58	P-1023		External temperature gauge (color)
3-25-58	P-1024		Cosmic ray counter (color)
3-25-58	P-1025		Micrometeorite impact microphone (color)
3-25-58	P-1026		Micrometeorite erosion gauge (color)
3-17-58	P-1027ABCD	Billie Joan Gunter
3-17-58	P-1028ABCD Jackie Jefferies
3-17-58	P-1029ABCD	Roxanne Newton
3-17-58	P-1030ABCD	Arlene Swanson
3-17-58	P-1031ABCD	Kathy Treadway
3-17-58	P-1032ABCD	Linda Tand
3-17-58	P-1033ABCD	Thomasine Martin
3-27-58	P-1034A-F	Jim McGarrity
3-27-58	P-1035A-F	Harold Marsh
3-25-58	P-1036ABCD	Anna Trimble


4-1-58		P-1037A-E	Geoffrey Robillard
4-3-58		P-1038A-F	Ray Duncan
4-7-58		P-1039ABCD	Dr Gates, publicity
4-7-58		P-1040ABCD	Dr Gates, publicity
