SUMLEV,ST,CTY,STNAME,CTYNAME,TIME,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,24,019,Maryland,Dorchester County,1,30674,14510,16164,1650,850,800,3760,1865,1895,1741,891,850,2070,1006,1064,24368,11342,13026,23523,10904,12619,11605,5626,5979,7813,3704,4109,5423,2263,3160,629,190,439,40.7,39.6,41.9
050,24,019,Maryland,Dorchester County,2,30674,14510,16164,1650,850,800,3760,1865,1895,1741,891,850,2070,1006,1064,24368,11342,13026,23523,10904,12619,11605,5626,5979,7813,3704,4109,5423,2263,3160,629,190,439,40.7,39.6,41.9
050,24,019,Maryland,Dorchester County,3,30594,14478,16116,1625,836,789,3719,1848,1871,1736,889,847,2078,1013,1065,24356,11341,13015,23514,10905,12609,11569,5612,5957,7853,3724,4129,5408,2257,3151,637,194,443,40.9,39.7,42.1
050,24,019,Maryland,Dorchester County,4,30603,14482,16121,1657,829,828,3624,1804,1820,1750,894,856,2186,1068,1118,24471,11433,13038,23572,10955,12617,11489,5593,5896,8021,3803,4218,5388,2244,3144,674,205,469,41.1,40.1,42.2
050,24,019,Maryland,Dorchester County,5,30510,14454,16056,1617,808,809,3537,1764,1773,1760,899,861,2232,1113,1119,24507,11453,13054,23596,10983,12613,11420,5577,5843,8179,3880,4299,5337,2210,3127,712,219,493,41.4,40.2,42.5
050,24,019,Maryland,Dorchester County,6,30616,14491,16125,1614,800,814,3459,1726,1733,1745,885,860,2339,1193,1146,24667,11513,13154,23798,11080,12718,11457,5599,5858,8299,3937,4362,5338,2197,3141,722,218,504,41.6,40.4,42.7
050,24,019,Maryland,Dorchester County,7,31002,14676,16326,1685,825,860,3381,1688,1693,1822,942,880,2522,1287,1235,25005,11684,13321,24114,11221,12893,11652,5703,5949,8417,4000,4417,5398,2221,3177,739,233,506,41.6,40.3,42.8
050,24,019,Maryland,Dorchester County,8,31401,14883,16518,1751,845,906,3313,1673,1640,1895,964,931,2589,1324,1265,25365,11888,13477,24442,11401,13041,11872,5826,6046,8515,4046,4469,5459,2263,3196,773,261,512,41.6,40.1,42.7
050,24,021,Maryland,Frederick County,1,195277,96079,99198,14056,7174,6882,28129,14421,13708,11702,6008,5694,14503,7102,7401,147093,71450,75643,141390,68476,72914,87013,43081,43932,44211,22270,21941,18836,7639,11197,2088,585,1503,35.6,35.1,36.1
050,24,021,Maryland,Frederick County,2,195276,96079,99197,14056,7174,6882,28129,14421,13708,11702,6008,5694,14503,7102,7401,147092,71450,75642,141389,68476,72913,87013,43081,43932,44211,22270,21941,18835,7639,11196,2088,585,1503,35.6,35.1,36.1
