
 Processing inputs for a 50 channel scanner,
 using 2 visual and 2 IR nadir pixel bands
 The first line of the config.asc file is:
 "50 MAS Configuration for 05-922  20 Jun 2005  TCSP"

 Ch Sb Nb Vi Slp/Emis Intcpt   Left   Peak  Right   Fctr    Ssi
 07 07 16  0 0.054580 0.0000  0.843  0.864  0.884  0.1000  980.98
 15 15 16  0 0.003276 0.0000  1.853  1.878  1.902  0.0100  140.08
 30 30 16  1 0.945000 0.0000  3.671  3.740  3.800  0.0010   11.86
 45 45 16  1 0.957000 0.0000 10.774 11.003 11.274  0.0100    0.16

 Record ScanLine -2005171-  INU_Lat    INU_Lon    Roll   Rad_07  Rad_15  Tmp_30  Tmp_45
 000242 00024925 18.345699 +39.69154 -119.17831  -0.264 0.00000 0.00000   error   error
 000243 00024945 18.346594 +39.69378 -119.17145  -0.352 0.00000 0.00000   error   error
 000244 00024965 18.347488 +39.69584 -119.16510  -0.396 0.00000 0.00000   error   error
 000245 00024985 18.348383 +39.69807 -119.15840  -0.242 0.00000 0.00000   error   error
 000246 00025005 18.349277 +39.70030 -119.15154  -0.242 0.00000 0.00000   error   error
 000247 00025025 18.350172 +39.70322 -119.14261  -0.352 0.00000 0.00000   error   error
 000248 00025045 18.351067 +39.70562 -119.13557  -0.264 0.00000 0.00000   error   error
 000249 00025065 18.351961 +39.70785 -119.12888  -0.286 0.00000 0.00000   error   error
 000250 00025085 18.352856 +39.71008 -119.12218  -0.330 0.00000 0.00000   error   error
 000251 00025105 18.353750 +39.71317 -119.11326  -0.330 0.00000 0.00000   error   error
 000252 00025125 18.354645 +39.71540 -119.10639  -0.264 0.00000 0.00000   error   error
 000253 00025145 18.355539 +39.71764 -119.09969  -0.352 0.00000 0.00000   error   error
 000254 00025165 18.356434 +39.71970 -119.09300  -0.374 0.00000 0.00000   error   error
 000255 00025185 18.357328 +39.72193 -119.08648  -0.242 0.00000 0.00000   error   error
 000256 00025205 18.358223 +39.72485 -119.07755  -0.308 0.00000 0.00000   error   error
 000257 00025225 18.359118 +39.72708 -119.07085  -0.198 0.00000 0.00000   error   error
 000258 00025245 18.360012 +39.72931 -119.06416  -0.264 0.00000 0.00000   error   error
 000259 00025265 18.360905 +39.73154 -119.05730  -0.242 0.00000 0.00000   error   error
 000260 00025285 18.361799 +39.73446 -119.04837  -0.396 0.00000 0.00000   error   error
 000261 00025305 18.362694 +39.73686 -119.04150  -0.308 0.00000 0.00000   error   error
 000262 00025325 18.363592 +39.73909 -119.03481  -0.198 0.00000 0.00000   error   error
 000263 00025345 18.364487 +39.74133 -119.02794  -0.352 0.00000 0.00000   error   error
 000264 00025365 18.365377 +39.74356 -119.02125  -0.286 0.00000 0.00000   error   error
 000265 00025385 18.366276 +39.74648 -119.01266  -0.308 0.00000 0.00000   error   error
 000266 00025405 18.367170 +39.74871 -119.00597  -0.396 0.00000 0.00000   error   error
 000267 00025425 18.368063 +39.75077 -118.99910  -0.352 0.00000 0.00000   error   error
 000268 00025445 18.368958 +39.75317 -118.99258  -0.330 0.00000 0.00000   error   error
 000269 00025465 18.369852 +39.75609 -118.98348  -0.308 0.00000 0.00000   error   error
 000270 00025485 18.370747 +39.75832 -118.97678  -0.286 0.00000 0.00000   error   error
